Name  	% Frequency  	Approx Number  	Rank
CHANTEL	0.007	10,627 	1126
CHANTELL	0.002	3,036 	2622
CHANTELLE	0.003	4,554 	1765
CHARA	0.001	1,518 	3906
CHARIS	0.001	1,518 	3578
CHARISE	0.002	3,036 	2728
CHARISSA	0.003	4,554 	1795
CHARISSE	0.004	6,072 	1522
CHARITA	0.001	1,518 	3739
CHARITY	0.018	27,326 	643
CHARLA	0.006	9,109 	1211
CHARLEEN	0.005	7,590 	1409
CHARLENA	0.001	1,518 	4086
CHARLENE	0.097	147,255 	220
CHARLES	0.006	9,109 	1254
CHARLESETTA	0.001	1,518 	3738
CHARLETTE	0.003	4,554 	1928
CHARLIE	0.006	9,109 	1193
CHARLINE	0.005	7,590 	1431
CHARLOTT	0.001	1,518 	3823
CHARLOTTE	0.169	256,557 	130
CHARLSIE	0.001	1,518 	4085
CHARLYN	0.001	1,518 	3662
CHARMAIN	0.001	1,518 	3905
CHARMAINE	0.011	16,699 	830
CHAROLETTE	0.003	4,554 	1944
CHASIDY	0.001	1,518 	4257
CHASITY	0.01	15,181 	872
CHASSIDY	0.001	1,518 	4256
CHASTITY	0.005	7,590 	1300
CHAU	0.002	3,036 	2997
CHAYA	0.002	3,036 	2199
CHELSEA	0.038	57,687 	407
CHELSEY	0.008	12,145 	1016
CHELSIE	0.004	6,072 	1537
CHER	0.001	1,518 	3140
CHERE	0.001	1,518 	3577
CHEREE	0.001	1,518 	3224
CHERELLE	0.001	1,518 	3904
CHERI	0.025	37,952 	518
CHERIE	0.022	33,398 	581
CHERILYN	0.001	1,518 	3335
CHERISE	0.003	4,554 	1740
CHERISH	0.002	3,036 	2575
CHERLY	0.004	6,072 	1650
CHERLYN	0.001	1,518 	3903
CHERRI	0.003	4,554 	1826
CHERRIE	0.003	4,554 	1779
CHERRY	0.009	13,663 	922
CHERRYL	0.002	3,036 	2762
CHERY	0.001	1,518 	3178
CHERYL	0.315	478,199 	59
CHERYLE	0.004	6,072 	1619
CHERYLL	0.002	3,036 	2621
CHEYENNE	0.003	4,554 	1778
CHI	0.002	3,036 	2168
CHIA	0.001	1,518 	3737
CHIEKO	0.001	1,518 	3902
CHIN	0.002	3,036 	2464
CHINA	0.001	1,518 	3089
CHING	0.001	1,518 	3177
CHIQUITA	0.005	7,590 	1329
CHLOE	0.007	10,627 	1137
CHONG	0.007	10,627 	1072
CHRIS	0.024	36,434 	528
CHRISSY	0.004	6,072 	1516
